,t,farea,numfires,num_active_fires,tot_frp,mean_frp
0,2023-05-01 12:00:00,36.66458515834509,124,0,0.0,0.0
1,2023-05-02 00:00:00,36.215425741137324,125,5,9.775,0.07819999999999999
2,2023-05-02 12:00:00,36.215425741137324,125,0,0.0,0.0
3,2023-05-03 00:00:00,34.83977971136965,118,1,1.68,0.01423728813559322
4,2023-05-03 12:00:00,33.93142011014155,115,1,4.75,0.041304347826086954
5,2023-05-04 00:00:00,33.887094814489764,110,2,17.734,0.16121818181818184
6,2023-05-04 12:00:00,32.26614619511065,103,1,3.19,0.030970873786407765
7,2023-05-05 00:00:00,30.029356316924,91,4,6.520333333333333,0.07165201465201465
8,2023-05-05 12:00:00,29.998647470764503,91,2,7.38,0.0810989010989011
9,2023-05-06 00:00:00,22.482065320724104,74,8,6.5721428571428575,0.0888127413127413
10,2023-05-06 12:00:00,32.803617534472686,80,10,58.32687499999999,0.7290859375000001
11,2023-05-07 00:00:00,31.29692035187164,78,7,9.741666666666667,0.1248931623931624
12,2023-05-07 12:00:00,45.04984212679269,80,3,24.804090909090895,0.3100511363636362
13,2023-05-08 00:00:00,47.731377351345245,83,11,18.046857142857142,0.21743201376936316
14,2023-05-08 12:00:00,49.381403632492166,85,3,31.9864705882353,0.3763114186851212
15,2023-05-09 00:00:00,49.47316651054586,85,5,7.4350000000000005,0.08747058823529412
16,2023-05-09 12:00:00,50.906578978134995,90,9,40.07625,0.4452916666666666
17,2023-05-10 00:00:00,51.86810855966195,90,11,16.973476190476195,0.1885941798941799
18,2023-05-10 12:00:00,53.80625503956681,106,18,72.52,0.6841509433962265
19,2023-05-11 00:00:00,55.010556875237185,104,13,15.556833333333335,0.1495849358974359
20,2023-05-11 12:00:00,55.458617409214554,107,6,24.005000000000003,0.2243457943925234
21,2023-05-12 00:00:00,54.41920515842381,101,6,49.01166666666667,0.4852640264026403
22,2023-05-12 12:00:00,52.041229685406726,106,9,38.585,0.3640094339622641
23,2023-05-13 00:00:00,50.17896308495364,103,8,23.720952380952383,0.23030050855293577
24,2023-05-13 12:00:00,49.76325512187537,104,3,5.76,0.05538461538461538
25,2023-05-14 00:00:00,50.89186296168089,109,11,20.181666666666665,0.18515290519877675
26,2023-05-14 12:00:00,51.933992206689986,112,7,29.78333333333333,0.26592261904761905
27,2023-05-15 00:00:00,51.964630456147304,111,6,14.090000000000002,0.12693693693693694
28,2023-05-15 12:00:00,53.82577492174835,116,9,33.08,0.28517241379310343
29,2023-05-16 00:00:00,53.04335377065643,113,2,3.1399999999999997,0.027787610619469022
30,2023-05-16 12:00:00,53.32535377065643,115,2,10.5,0.09130434782608696
31,2023-05-17 00:00:00,53.27354305836559,113,4,7.316000000000001,0.0647433628318584
32,2023-05-17 12:00:00,53.2693850715666,114,4,16.42,0.14403508771929827
33,2023-05-18 00:00:00,55.34129017409144,121,15,15.416595238095239,0.1274098780007871
34,2023-05-18 12:00:00,54.885043002659046,119,5,12.656999999999998,0.10636134453781511
35,2023-05-19 00:00:00,53.21667646554048,115,9,13.644000000000002,0.11864347826086954
36,2023-05-19 12:00:00,53.440381056633804,116,3,6.35,0.054741379310344826
37,2023-05-20 00:00:00,52.37704809072453,114,2,2.395,0.02100877192982456
38,2023-05-20 12:00:00,52.23604809072453,113,0,0.0,0.0
39,2023-05-21 00:00:00,52.33812968981011,112,4,14.925,0.13325892857142857
40,2023-05-21 12:00:00,52.430357066828165,113,4,12.56,0.11115044247787609
41,2023-05-22 00:00:00,52.58353073652178,113,8,13.398333333333335,0.1185693215339233
42,2023-05-22 12:00:00,52.58898091513428,115,5,17.445,0.15169565217391304
43,2023-05-23 00:00:00,53.69078240655671,117,10,13.686666666666666,0.11698005698005697
44,2023-05-23 12:00:00,57.01940290346725,132,18,73.3195,0.5554507575757576
45,2023-05-24 00:00:00,57.3179785979586,134,5,5.375,0.04011194029850746
46,2023-05-24 12:00:00,57.81628097512683,136,4,16.795,0.12349264705882354
47,2023-05-25 00:00:00,58.686409857705435,137,8,19.661499999999997,0.14351459854014595
48,2023-05-25 12:00:00,58.79460541274468,142,7,18.7,0.1316901408450704
49,2023-05-26 00:00:00,59.438594795243674,144,8,13.387142857142855,0.09296626984126984
50,2023-05-26 12:00:00,60.807007836957865,149,8,24.3175,0.16320469798657716
51,2023-05-27 00:00:00,48.98371388250446,139,10,27.64,0.19884892086330933
52,2023-05-27 12:00:00,50.42267770826056,142,9,38.74833333333333,0.27287558685446006
53,2023-05-28 00:00:00,39.16885661040799,146,17,22.14434126984127,0.15167357034137854
54,2023-05-28 12:00:00,45.87035052092177,157,17,115.01616666666666,0.7325870488322718
55,2023-05-29 00:00:00,57.983912368936856,159,17,19.576298701298704,0.12312137547986604
56,2023-05-29 12:00:00,59.37703452919772,167,14,68.37166666666667,0.4094111776447106
57,2023-05-30 00:00:00,57.09509821098354,162,13,20.334166666666665,0.1255195473251029
58,2023-05-30 12:00:00,61.39803304956811,169,13,114.21476190476191,0.6758269935193013
59,2023-05-31 00:00:00,61.57502259637531,156,13,33.922999999999995,0.21745512820512822
60,2023-05-31 12:00:00,167.41130224364207,161,18,221.28416528008873,1.3744358091930982
61,2023-06-01 00:00:00,189.55245575396233,156,17,28.521252873563224,0.1828285440613027
62,2023-06-01 12:00:00,243.5033606073778,169,22,355.86792506962274,2.105727367275874
63,2023-06-02 00:00:00,399.40604420932743,186,41,78.83430750142439,0.42384036291088373
64,2023-06-02 12:00:00,866.4959792241012,222,72,2316.4643779576627,10.434524225034517
65,2023-06-03 00:00:00,1621.34627757913,249,89,186.6203853060814,0.7494794590605679
66,2023-06-03 12:00:00,2533.569921002182,251,98,2075.709976067943,8.26976086082846
67,2023-06-04 00:00:00,3008.1799860835586,249,78,144.02806732124432,0.5784259731776885
68,2023-06-04 12:00:00,3569.664711515276,264,99,1637.1476735029446,6.20131694508691
69,2023-06-05 00:00:00,3867.268802576617,266,44,97.74954087174702,0.36747947696145483
70,2023-06-05 12:00:00,5167.610742602464,257,66,1417.181344549343,5.514324297857367
71,2023-06-06 00:00:00,6130.902874105066,258,62,123.15838016820015,0.47735806266744235
72,2023-06-06 12:00:00,7052.864208887232,263,51,1097.0887677317132,4.1714401814894035
73,2023-06-07 00:00:00,8001.747816606791,266,41,82.730376984577,0.3110164548292369
74,2023-06-07 12:00:00,8239.265214393945,261,18,253.5303745413034,0.9713807453689784
75,2023-06-08 00:00:00,8441.961812539099,258,30,51.96935179603206,0.2014315961086514
76,2023-06-08 12:00:00,8899.918152095734,253,23,296.39341497916047,1.1715154742259308
77,2023-06-09 00:00:00,9185.54096894571,253,21,28.010884951192164,0.11071496028139194
78,2023-06-09 12:00:00,9391.60087850867,255,24,280.61864962705994,1.100465292655137
79,2023-06-10 00:00:00,9463.264826407802,256,14,26.737086710442384,0.10444174496266556
80,2023-06-10 12:00:00,9519.917775724414,255,11,72.74816666666666,0.2852869281045751
81,2023-06-11 00:00:00,9565.272457583405,260,21,29.38935714285714,0.11303598901098902
82,2023-06-11 12:00:00,9732.276051772318,265,27,263.9164738665896,0.995911222138074
83,2023-06-12 00:00:00,9881.725092825043,268,23,32.786144983004945,0.12233636187688413
84,2023-06-12 12:00:00,10487.027566008497,273,37,944.7578683347234,3.4606515323616245
85,2023-06-13 00:00:00,11318.559296181484,258,40,70.98471604893331,0.2751345583291988
86,2023-06-13 12:00:00,12219.01194653273,272,46,1395.48336703833,5.130453555287978
87,2023-06-14 00:00:00,12383.511345011975,275,22,36.00536085012112,0.13092858490953135
88,2023-06-14 12:00:00,12468.311939904828,277,19,164.19653532109393,0.592767275527415
89,2023-06-15 00:00:00,12525.483995681408,276,14,18.97939934619303,0.0687659396601197
90,2023-06-15 12:00:00,12653.507109608503,275,10,149.08341141251478,0.5421214960455082
