,InterCloud,t,lat,lon,current_mag,multiplicity_0,accr,error_elps,num_station,geometry
6580,0,2023-06-16 00:39:23.503,49.472125,-72.887259,-11478,0,0,9,4,POINT (-72.887259 49.472125)
6581,0,2023-06-16 00:29:00.466,49.481336,-72.789766,-19019,0,0,25,1,POINT (-72.789766 49.481336)
6582,0,2023-06-16 00:23:27.460,49.114519,-72.922452,-16809,0,0,19,3,POINT (-72.922452 49.114519)
6583,0,2023-06-16 04:20:16.761,49.58753,-72.919934,-21535,0,0,16,1,POINT (-72.919934 49.58753)
6584,0,2023-06-16 04:18:40.755,49.628892,-72.926118,-23856,0,0,21,2,POINT (-72.926118 49.628892)
6585,0,2023-06-16 04:18:40.794,49.661058,-72.923917,-8273,0,0,10,2,POINT (-72.923917 49.661058)
6586,0,2023-06-16 04:26:56.583,47.236102,-73.047385,-17349,0,0,21,4,POINT (-73.047385 47.236102)
6587,0,2023-06-16 04:26:56.553,47.239365,-73.053308,-51931,0,0,31,4,POINT (-73.053308 47.239365)
6588,0,2023-06-16 04:26:56.789,47.244962,-73.039715,29095,0,0,25,4,POINT (-73.039715 47.244962)
6589,0,2023-06-16 04:28:51.178,47.245836,-73.019446,-24420,0,0,25,3,POINT (-73.019446 47.245836)
6590,0,2023-06-16 04:16:35.087,47.250623,-73.032345,-12748,0,0,19,1,POINT (-73.032345 47.250623)
6591,0,2023-06-16 04:24:01.181,47.2584,-73.0387,131973,0,0,8,3,POINT (-73.0387 47.2584)
6592,0,2023-06-16 04:20:21.187,47.273331,-73.039464,46865,0,0,27,1,POINT (-73.039464 47.273331)
6593,0,2023-06-16 02:23:35.795,48.029659,-73.024274,-9294,0,0,12,1,POINT (-73.024274 48.029659)
6594,0,2023-06-16 00:28:07.311,49.050053,-72.99594,-7940,0,0,12,1,POINT (-72.99594 49.050053)
6595,0,2023-06-16 00:23:27.461,49.102446,-72.91231,7685,0,0,15,3,POINT (-72.91231 49.102446)
6596,0,2023-06-16 03:45:32.312,47.427869,-73.214081,5959,0,0,10,1,POINT (-73.214081 47.427869)
6597,0,2023-06-16 02:15:15.720,48.059297,-73.100623,-6711,0,0,13,2,POINT (-73.100623 48.059297)
6598,0,2023-06-16 02:29:35.814,48.072256,-73.072879,-8322,0,0,10,2,POINT (-73.072879 48.072256)
6599,0,2023-06-16 02:29:35.792,48.078614,-73.071479,-67644,0,0,27,2,POINT (-73.071479 48.078614)
6600,0,2023-06-16 00:11:31.693,48.603419,-73.198118,9258,0,0,14,1,POINT (-73.198118 48.603419)
6601,0,2023-06-16 00:07:19.435,48.847715,-73.181668,7503,0,0,8,2,POINT (-73.181668 48.847715)
6602,0,2023-06-16 02:26:25.093,49.17476,-73.188412,-18064,0,0,25,1,POINT (-73.188412 49.17476)
