,InterCloud,t,lat,lon,current_mag,multiplicity_0,accr,error_elps,num_station,geometry
0,0,2023-05-01 20:00:19.230,45.018215,-77.060768,-4402,0,0,19,4,POINT (-77.060768 45.018215)
1,0,2023-05-01 18:18:05.635,44.294653,-78.925559,-3832,0,0,28,1,POINT (-78.925559 44.294653)
2,0,2023-05-01 18:22:48.345,44.30582,-78.899159,-2236,0,0,15,1,POINT (-78.899159 44.30582)
3,0,2023-05-01 18:43:15.239,44.416576,-78.746132,-14642,0,0,37,8,POINT (-78.746132 44.416576)
4,0,2023-05-01 22:51:54.848,44.71543,-78.721864,-8192,0,0,35,7,POINT (-78.721864 44.71543)
5,0,2023-05-01 22:51:54.493,44.74308,-78.723943,-3894,0,0,26,7,POINT (-78.723943 44.74308)
6,0,2023-05-01 22:09:13.611,44.523344,-73.402162,-5245,0,0,25,3,POINT (-73.402162 44.523344)
7,0,2023-05-01 22:08:22.363,44.524079,-73.425324,-2697,0,0,23,3,POINT (-73.425324 44.524079)
8,0,2023-05-01 22:08:22.356,44.52898,-73.434414,-10230,0,0,26,3,POINT (-73.434414 44.52898)
9,0,2023-05-01 22:08:22.395,44.531143,-73.423592,-1894,0,0,6,3,POINT (-73.423592 44.531143)
10,0,2023-05-01 23:20:03.844,44.528164,-72.820737,-1668,0,0,13,4,POINT (-72.820737 44.528164)
11,0,2023-05-01 23:20:03.945,44.52848,-72.819376,-2817,0,0,20,4,POINT (-72.819376 44.52848)
12,0,2023-05-01 16:16:28.146,44.737518,-72.443559,-5455,0,0,23,6,POINT (-72.443559 44.737518)
13,0,2023-05-01 16:16:28.133,44.740616,-72.444733,-14954,0,0,34,6,POINT (-72.444733 44.740616)
14,0,2023-05-01 16:16:28.220,44.742587,-72.442249,-15040,0,0,31,6,POINT (-72.442249 44.742587)
15,0,2023-05-01 07:07:10.328,44.28779,-71.134747,95313,0,0,26,3,POINT (-71.134747 44.28779)
16,0,2023-05-01 07:07:10.418,44.3342,-71.169093,31187,0,0,24,3,POINT (-71.169093 44.3342)
17,0,2023-05-02 16:18:19.633,44.290993,-70.049817,-4716,0,0,18,4,POINT (-70.049817 44.290993)
18,0,2023-05-02 16:14:36.337,44.352786,-70.185217,-6232,0,0,22,2,POINT (-70.185217 44.352786)
19,0,2023-05-02 16:26:13.246,44.363946,-70.114232,-6972,0,0,19,7,POINT (-70.114232 44.363946)
20,0,2023-05-02 16:20:38.554,44.392416,-70.19184,-2487,0,0,9,4,POINT (-70.19184 44.392416)
21,0,2023-05-02 16:23:52.064,44.408423,-70.200703,-2034,0,0,7,2,POINT (-70.200703 44.408423)
22,0,2023-05-02 16:35:56.177,44.430085,-70.185886,-4048,0,0,13,5,POINT (-70.185886 44.430085)
23,0,2023-05-02 16:39:12.452,44.444356,-70.186208,-7126,0,0,20,4,POINT (-70.186208 44.444356)
24,0,2023-05-02 16:39:12.673,44.446668,-70.186883,-2277,0,0,7,4,POINT (-70.186883 44.446668)
25,0,2023-05-02 16:39:12.484,44.45805,-70.166473,-8297,0,0,22,4,POINT (-70.166473 44.45805)
26,0,2023-05-02 16:39:12.726,44.46184,-70.159311,-6698,0,0,13,4,POINT (-70.159311 44.46184)
27,0,2023-05-02 15:40:13.294,44.255902,-70.532863,-1486,0,0,12,6,POINT (-70.532863 44.255902)
28,0,2023-05-02 18:50:37.855,45.342825,-70.440054,-2708,0,0,7,5,POINT (-70.440054 45.342825)
29,0,2023-05-02 16:40:15.453,44.463025,-70.16093,-3506,0,0,12,2,POINT (-70.16093 44.463025)
30,0,2023-05-02 18:50:37.849,45.342368,-70.398086,-7735,0,0,24,5,POINT (-70.398086 45.342368)
31,0,2023-05-02 18:30:30.926,44.2572,-70.917142,-2115,0,0,11,5,POINT (-70.917142 44.2572)
32,0,2023-05-02 18:50:34.908,44.438595,-70.968861,-1661,0,0,10,6,POINT (-70.968861 44.438595)
33,0,2023-05-02 18:50:34.770,44.439315,-70.970059,-2169,0,0,14,6,POINT (-70.970059 44.439315)
